#chr	male_nu	male_p	female_nu	female_p
1	7.45195539033457	0.068	7.45195539033457	0.068
2	7.31315045448379	0.06	7.31315045448379	0.06
3	7.47549931152056	0.065	7.47549931152056	0.065
4	7.17257850241546	0.0515	7.17257850241546	0.0515
5	7.21158881987578	0.045	7.21158881987578	0.045
6	8.24820322003578	0.0675	8.24820322003578	0.0675
7	7.96779058896853	0.0605	7.96779058896853	0.0605
8	8.25292917947505	0.16	8.25292917947505	0.16
9	7.80807296110802	0.103	7.80807296110802	0.103
10	8.04923700202566	0.0595	8.04923700202566	0.0595
11	7.98438207310966	0.0655	7.98438207310966	0.0655
12	7.62094634337625	0.06	7.62094634337625	0.06
13	8.20486782440907	0.039	8.20486782440907	0.039
14	8.2714731876269	0.045	8.2714731876269	0.045
15	8.17842350359625	0.0795	8.17842350359625	0.0795
16	8.19468952473919	0.139	8.19468952473919	0.139
17	8.25874363734355	0.078	8.25874363734355	0.078
18	8.22556931866529	0.058	8.22556931866529	0.058
19	8.18762801489894	0.0605	8.18762801489894	0.0605
20	8.22240176520372	0.076	8.22240176520372	0.076
21	17.5149181554408	0.0595	17.5149181554408	0.0595
22	11.1514813505392	0.0795	11.1514813505392	0.0795
